window_id,timestamp,datetime,duration,flow_count,CPWE,CPRF,RFPSD,RFBSD,CFER
255,1743373920.387256,2025-03-30 23:32:00.387256,4.095997095108032,4,1.0,1.9531263851614131,2.8284271247461903,427.6172353869755,2.0
256,1743373924.483275,2025-03-30 23:32:04.483275,4.099390029907227,4,1.0,1.9515098445465675,2.8284271247461903,427.6172353869755,2.0
257,1743373928.58268,2025-03-30 23:32:08.582680,4.062272071838379,4,1.0,1.9693412598973472,2.8284271247461903,427.6172353869755,2.0
258,1743373932.644965,2025-03-30 23:32:12.644965,4.097064971923828,4,1.0,1.9526173138141618,2.8284271247461903,427.6172353869755,2.0
259,1743373936.742045,2025-03-30 23:32:16.742045,4.099503993988037,4,1.0,1.9514555935869506,2.8284271247461903,427.6172353869755,2.0
260,1743373940.84167,2025-03-30 23:32:20.841670,4.098247051239014,4,1.0,1.9520541099593736,2.8284271247461903,427.6172353869755,2.0
261,1743373944.939954,2025-03-30 23:32:24.939954,4.134799957275391,4,1.0,1.934797349971815,2.8284271247461903,427.6172353869755,2.0
262,1743373949.07477,2025-03-30 23:32:29.074770,4.130795001983643,4,0.9886994082884974,1.9366732060434693,2.8284271247461903,427.6172353869755,2.0
263,1743373953.205587,2025-03-30 23:32:33.205587,4.085569143295288,4,1.0,1.9581115187166942,2.8284271247461903,427.6172353869755,2.0
264,1743373957.291249,2025-03-30 23:32:37.291249,4.3222129344940186,4,1.0,1.8509037202112124,2.8284271247461903,427.6172353869755,2.0
265,1743373961.613753,2025-03-30 23:32:41.613753,4.566810846328735,4,1.0,1.7517695103205797,2.8284271247461903,427.6172353869755,2.0
266,1743373966.180575,2025-03-30 23:32:46.180575,4.209339141845703,4,0.9971803988942642,1.9005358633308351,3.7416573867739413,497.2722468628226,2.0
267,1743373970.389926,2025-03-30 23:32:50.389926,4.140805959701538,4,1.0,1.9319910369759576,3.7416573867739413,533.5363155400015,2.0
268,1743373974.530798,2025-03-30 23:32:54.530798,4.125946044921875,4,0.9971803988942642,1.9389492525832293,3.1622776601683795,489.3257478408427,2.0
269,1743373978.656755,2025-03-30 23:32:58.656755,4.072344064712524,4,1.0,1.9644705537828218,2.8284271247461903,427.6172353869755,2.0
270,1743373982.729122,2025-03-30 23:33:02.729122,4.094947099685669,4,1.0,1.9536271910848582,2.8284271247461903,427.6172353869755,1.0
271,1743373986.824101,2025-03-30 23:33:06.824101,4.151793003082275,4,1.0,1.926878337638902,2.8284271247461903,427.6172353869755,2.0
272,1743373990.975908,2025-03-30 23:33:10.975908,4.172220945358276,4,1.0,1.9174439956014901,2.8284271247461903,427.6172353869755,2.0
273,1743373995.148153,2025-03-30 23:33:15.148153,4.2838099002838135,4,0.9971803988942642,1.8674965010632192,3.7416573867739413,497.2722468628226,2.0
274,1743373999.431975,2025-03-30 23:33:19.431975,4.07223916053772,4,1.0,1.964521160133345,3.7416573867739413,533.5363155400015,2.0
275,1743374003.504228,2025-03-30 23:33:23.504228,4.110628843307495,4,1.0,1.9461742485033113,3.7416573867739413,533.5363155400015,2.0
276,1743374007.615133,2025-03-30 23:33:27.615133,4.189594030380249,4,0.9886994082884974,1.9094928868976637,3.7416573867739413,533.5363155400015,2.0
277,1743374011.804759,2025-03-30 23:33:31.804759,4.093206882476807,4,1.0,1.9544577710568067,3.7416573867739413,533.5363155400015,2.0
278,1743374015.898039,2025-03-30 23:33:35.898039,4.068995952606201,4,1.0,1.9660869888248431,3.7416573867739413,533.5363155400015,2.0
279,1743374019.967048,2025-03-30 23:33:39.967048,4.1813249588012695,4,1.0,1.9132691380900215,3.7416573867739413,533.5363155400015,2.0
280,1743374024.148386,2025-03-30 23:33:44.148386,4.1647679805755615,4,1.0,1.92087531341768,3.7416573867739413,533.5363155400015,2.0
281,1743374028.313172,2025-03-30 23:33:48.313172,1.6660327911376953,19,3.4873008763572906,1.0109107907568142,2.0013845622980573,278.4363939659551,17.0
282,1743374029.979668,2025-03-30 23:33:49.979668,2.3567612171173096,9,1.9618974703476992,1.5086617726612799,3.593547028621384,440.987780128001,7.0
283,1743374032.336814,2025-03-30 23:33:52.336814,1.208022117614746,12,2.554536144108406,2.207465101658926,2.8382310609877335,367.66934873606203,7.0
284,1743374033.552154,2025-03-30 23:33:53.552154,0.9799950122833252,15,2.75,2.1768818275542077,0.618241233033047,56.24170062230417,1.0
285,1743374034.533284,2025-03-30 23:33:54.533284,4.115518093109131,4,1.0,1.943862186730487,3.24037034920393,497.0321921163658,2.0
286,1743374038.648851,2025-03-30 23:33:58.648851,4.063698053359985,4,1.0,1.9686502035714402,3.24037034920393,497.0321921163658,2.0
287,1743374042.712758,2025-03-30 23:34:02.712758,4.177037954330444,4,1.0,1.9152327767829334,3.24037034920393,497.0321921163658,2.0
288,1743374046.890025,2025-03-30 23:34:06.890025,4.180951118469238,4,1.0,1.913440213318978,3.24037034920393,497.0321921163658,1.0
289,1743374051.071115,2025-03-30 23:34:11.071115,4.140661954879761,4,0.9971803988942642,1.9320582281709855,3.24037034920393,497.0321921163658,2.0
290,1743374055.212249,2025-03-30 23:34:15.212249,4.146044015884399,4,1.0,1.9295501855142525,3.24037034920393,497.0321921163658,2.0
291,1743374059.358995,2025-03-30 23:34:19.358995,4.0683979988098145,4,1.0,1.9663759549435313,3.24037034920393,497.0321921163658,2.0
292,1743374063.427739,2025-03-30 23:34:23.427739,4.052248001098633,4,1.0,1.9742128314533232,3.24037034920393,497.0321921163658,2.0
293,1743374067.480594,2025-03-30 23:34:27.480594,3.4769601821899414,3,0.9971803988942642,3.067813868362546,1.247219128924647,173.09984273694636,1.0
294,1743374070.957683,2025-03-30 23:34:30.957683,2.6897079944610596,3,1.0,3.965734082893991,1.247219128924647,173.2230418339957,2.0
295,1743374073.647437,2025-03-30 23:34:33.647437,4.223714828491211,3,1.0,2.525423022102322,4.988876515698588,595.9932885528158,1.0
296,1743374077.871197,2025-03-30 23:34:37.871197,2.2465429306030273,3,1.0,4.748035980689436,1.247219128924647,276.4842772302894,1.0
297,1743374080.11779,2025-03-30 23:34:40.117790,4.036678075790405,3,1.0,2.6424367924306353,4.189935029992179,504.100739491181,1.0
298,1743374084.155443,2025-03-30 23:34:44.155443,3.1125619411468506,3,1.0,3.42697329992297,2.6246692913372702,170.48753620133056,1.0
299,1743374087.268044,2025-03-30 23:34:47.268044,3.0240790843963623,3,1.0,3.5272446152961123,1.247219128924647,173.2230418339957,2.0
300,1743374090.29216,2025-03-30 23:34:50.292160,4.102480888366699,4,1.0,1.9500395535504864,6.2048368229954285,701.2608287933955,2.0
301,1743374094.394684,2025-03-30 23:34:54.394684,2.089962959289551,3,1.0,5.103758714600677,0.4714045207910317,213.09987225607517,1.0
302,1743374096.484763,2025-03-30 23:34:56.484763,4.064293146133423,4,1.0,1.9683619543070663,5.244044240850758,612.2235600660922,2.0
303,1743374100.552441,2025-03-30 23:35:00.552441,3.1025681495666504,3,1.0,3.438012044362838,2.6246692913372702,170.48753620133056,1.0
304,1743374103.655047,2025-03-30 23:35:03.655047,3.0297200679779053,3,1.0,3.520677299334064,2.0548046676563256,204.01524997465808,2.0
305,1743374106.684771,2025-03-30 23:35:06.684771,3.4947919845581055,3,1.0,3.052160676171231,4.988876515698588,599.7606930175475,1.0
306,1743374110.760093,2025-03-30 23:35:10.760093,4.537883996963501,2,0.9971803988942642,3.525872413377316,4.0,229.0,1.0
307,1743374115.93806,2025-03-30 23:35:15.938060,4.607156991958618,2,1.0,3.4728575622507707,4.0,229.0,1.0
308,1743374121.023727,2025-03-30 23:35:21.023727,4.07011604309082,3,0.9971803988942642,2.6207278990911687,4.988876515698588,558.7929451554982,2.0
309,1743374125.093858,2025-03-30 23:35:25.093858,4.053241014480591,3,0.9971803988942642,2.6316388856618644,3.7712361663282534,179.61625761606325,1.0
310,1743374129.147106,2025-03-30 23:35:29.147106,4.065247058868408,3,1.0,2.6238667692771944,4.988876515698588,599.7606930175475,1.0
